,,1,,,,,2',,,,,5',,,,,4,,,,,7',,,,,3
X,Y,Z,,,,,6',,,,,,,,,,,,,,,,,,,,
380.023,253.852,98.956,,,,,,,,,,,,,,,,,,,,,,,,,
384.938,251.014,107.528,,,,,,,,,,,,,,,,,,,,,,,,,
384.938,251.014,107.528,,,,,,,,,,,,,,,,,,,,,,,,,
389.853,248.177,116.101,,,,,,,,,,,,,,,,,,,,,,,,,
389.853,248.177,116.101,,,,,,,,,,,,,,,,,,,,,,,,,
394.768,245.339,124.673,,,,,,,,,,,,,,,,,,,,,,,,,
394.768,245.339,124.673,,,,,,,,,,,,,,,,,,,,,,,,,
399.683,242.501,133.245,,,,,,,,,,,,,,,,,,,,,,,,,
399.683,242.501,133.245,,,,,,,,,,,,,,,,,,,,,,,,,
404.598,239.664,141.817,,,,,,,,,,,,,,,,,,,,,,,,,
404.598,239.664,141.817,,,,,,,,,,,,,,,,,,,,,,,,,
409.513,236.826,150.389,,,,,,,,,,,,,,,,,,,,,,,,,
409.513,236.826,150.389,,,,,,,,,,,,,,,,,,,,,,,,,
414.428,233.988,158.961,,,,,,,,,,,,,,,,,,,,,,,,,
414.428,233.988,158.961,,,,,,,,,,,,,,,,,,,,,,,,,
419.342,231.151,167.533,,,,,,,,,,,,,,,,,,,,,,,,,
419.342,231.151,167.533,,,,,,,,,,,,,,,,,,,,,,,,,
424.257,228.313,176.105,,,,,,,,,,,,,,,,,,,,,,,,,
424.257,228.313,176.105,,,,,,,,,,,,,,,,,,,,,,,,,
429.172,225.476,184.677,,,,,,,,,,,,,,,,,,,,,,,,,
429.172,225.476,184.677,,,,,,,,,,,,,,,,,,,,,,,,,
434.087,222.638,193.249,,,,,,,,,,,,,,,,,,,,,,,,,
434.087,222.638,193.249,,,,,,,,,,,,,,,,,,,,,,,,,
439.002,219.8,201.821,,,,,,,,,,,,,,,,,,,,,,,,,
439.002,219.8,201.821,,,,,,,,,,,,,,,,,,,,,,,,,
443.917,216.963,210.393,,,,,,,,,,,,,,,,,,,,,,,,,
443.917,216.963,210.393,,,,,,,,,,,,,,,,,,,,,,,,,
448.832,214.125,218.965,,,,,,,,,,,,,,,,,,,,,,,,,
448.832,214.125,218.965,,,,,,,,,,,,,,,,,,,,,,,,,
453.747,211.287,227.538,,,,,,,,,,,,,,,,,,,,,,,,,
453.747,211.287,227.538,,,,,,,,,,,,,,,,,,,,,,,,,
458.662,208.45,236.11,,,,,,,,,,,,,,,,,,,,,,,,,
458.662,208.45,236.11,,,,,,,,,,,,,,,,,,,,,,,,,
463.577,205.612,244.682,,,,,,,,,,,,,,,,,,,,,,,,,
463.577,205.612,244.682,,,,,,,,,,,,,,,,,,,,,,,,,
468.492,202.774,253.254,,,,,,,,,,,,,,,,,,,,,,,,,
468.492,202.774,253.254,,,,,,,,,,,,,,,,,,,,,,,,,
473.406,199.937,261.826,,,,,,,,,,,,,,,,,,,,,,,,,
473.406,199.937,261.826,,,,,,,,,,,,,,,,,,,,,,,,,
485.28,198.661,265.681,,,,,,,,,,,,,,,,,,,,,,,,,
485.28,198.661,265.681,,,,,,,,,,,,,,,,,,,,,,,,,
490.074,201.428,257.32,,,,,,,,,,,,,,,,,,,,,,,,,
490.074,201.428,257.32,,,,,,,,,,,,,,,,,,,,,,,,,
